"id","sequencia","codigo","titulo","descricao","categoria","tipo","gatilho_tipo","gatilho_valor","xp_recompensa","repeticao","ordem_inicial","ativo","criado_em","atualizado_em"
"6fc011dd-a656-4ff4-9d4f-a89efb4c759e","1","primeira_conversa","Quest: Primeira Conversa","Complete a primeira conversa completa guiada pelo assistente e comece sua jornada.","primeiros_passos","sistema","total_conversas",1,50,"unica",1,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"d3621388-e1b8-40d2-bf0e-9cbe61eb1a95","2","streak_3_dias","Quest: Streak 3 Dias","Converse com o assistente por três dias consecutivos sem quebrar a sequência.","consistencia","sistema","dias_consecutivos",3,150,"unica",2,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"6341d6f4-3585-4da2-99dd-8cce54a3505e","3","primeira_semana","Quest: Semana Completa","Realize sete conversas no total para fechar a primeira semana de prática.","primeiros_passos","sistema","total_conversas",7,100,"unica",3,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"e57cc1af-3d42-4689-a920-7d293ee3a704","4","streak_30_dias","Quest: Streak 30 Dias","Mantenha trinta dias seguidos de conversa ativa para consolidar o hábito.","consistencia","sistema","dias_consecutivos",30,300,"unica",4,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"1ce26d10-24d3-4d3d-bf39-a8e3a1839e7d","5","primeira_reflexao","Quest: Primeira Reflexão","Registre a primeira reflexão profunda após a conversa com o assistente.","primeiros_passos","sistema","total_reflexoes",1,50,"unica",5,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"b4ed19fc-0522-4474-b405-d618beb9e30e","6","reflexao_profunda","Quest: 10 Reflexões","Some dez reflexões profundas registradas para avançar na jornada de autoconhecimento.","profundidade","sistema","total_reflexoes",10,200,"unica",6,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"542ab728-2d79-4a9c-99a9-cbf74ea7577a","7","daily_reflexao_profunda","Daily: Reflexão Profunda","No check-in de hoje, conclua a conversa com uma reflexão detalhada sobre o dia.","diaria","diaria","diario",NULL,30,"diaria",101,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"d75ee4aa-c8ba-4f31-9cbc-9505ac011ff7","8","daily_sentimentos","Daily: Sentimentos do Dia","Compartilhe como está se sentindo agora e qual foi a principal fonte de energia do dia.","diaria","diaria","diario",NULL,30,"diaria",102,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"bd87d5d7-dad3-4e17-8284-7eed8b03885a","9","daily_pequena_vitoria","Daily: Pequena Vitória","Descreva uma pequena vitória conquistada hoje, mesmo que pareça simples.","diaria","diaria","diario",NULL,30,"diaria",103,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
"5fea7fa4-b4b5-4a99-895a-f9d073e89baf","10","daily_emocao","Daily: Emoção em Foco","Identifique uma emoção sentida hoje e explique rapidamente o que a despertou.","diaria","diaria","diario",NULL,30,"diaria",104,True,"2025-11-01 15:26:54.502948","2025-11-01 15:26:54.502948"
